"filename", "language", "C", "C++", "Makefile", "comment", "blank", "total"
"/home/iago/Área de Trabalho/SO/Projeto 02/Makefile", "Makefile", 0, 0, 20, 0, 1, 21
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/attr/attr.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/attr/attr.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cat/cat.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cat/cat.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cd/cd.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cd/cd.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cp/cp.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/cp/cp.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/help/help.c", "C", 18, 0, 0, 0, 15, 33
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/help/help.h", "C++", 0, 4, 0, 3, 2, 9
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/info/info.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/info/info.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/ls/ls.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/ls/ls.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/mkdir/mkdir.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/mkdir/mkdir.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/mv/mv.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/mv/mv.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/pwd/pwd.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/pwd/pwd.h", "C++", 0, 4, 0, 0, 1, 5
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rename/rename.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rename/rename.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rm/rm.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rm/rm.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rmdir/rmdir.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/rmdir/rmdir.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/touch/touch.c", "C", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/commands/touch/touch.h", "C++", 0, 0, 0, 0, 1, 1
"/home/iago/Área de Trabalho/SO/Projeto 02/ext2/ext2.h", "C++", 0, 121, 0, 0, 5, 126
"/home/iago/Área de Trabalho/SO/Projeto 02/main.c", "C", 174, 0, 0, 37, 32, 243
"/home/iago/Área de Trabalho/SO/Projeto 02/utils/utils.c", "C", 179, 0, 0, 0, 4, 183
"/home/iago/Área de Trabalho/SO/Projeto 02/utils/utils.h", "C++", 0, 13, 0, 2, 5, 20
"Total", "-", 371, 142, 20, 42, 90, 665
